metro_id,PL_count,PL_TS_emp_pct,PL_area_pct,metro_name,Type
61,2,22.028217,.56770283,"London, United Kingdom",Duocentric-Dispearsed
62,7,18.794548,.32310468,"Los Angeles, CA",Polycentric-Dispearsed
79,2,32.805805,.48173451,"New York, NY",Duocentric-Agglomerated
85,1,29.6989,.60360038,"Paris, France",Monocentric-Agglomerated
50,3,14.321256,.37062389,"Istanbul, Turkey",Polycentric-Dispearsed
117,1,43.790314,.57832098,"Tokyo, Japan",Monocentric-Agglomerated
112,2,28.925917,.44429564,"São Paulo, Brazil",Duocentric-Dispearsed
92,4,27.800861,.32298368,"Quezon City, Philippines",Polycentric-Dispearsed
52,3,16.283997,.25770786,"Johannesburg, South Africa",Polycentric-Dispearsed
69,5,16.058361,.28695592,"Miami, FL",Polycentric-Dispearsed
101,5,19.407043,.32735536,"San Diego, CA",Polycentric-Dispearsed
102,2,35.818569,.4374212,"San Francisco, CA",Duocentric-Agglomerated
13,2,21.024448,.39893961,"Boston, MA",Duocentric-Dispearsed
67,1,37.796463,.3294321,"Melbourne, Australia",Monocentric-Agglomerated
111,2,30.819607,.36419547,"Sydney, Australia",Duocentric-Agglomerated
80,4,12.208249,.1877386,"Newark, NJ",Polycentric-Dispearsed
87,8,10.228963,.24798553,"Phoenix, AZ",Polycentric-Dispearsed
31,4,34.39122,.35291037,"Dubai, United Arab Emirates",Polycentric-Agglomerated
74,2,12.587741,.52715451,"Moscow, Russia",Duocentric-Dispearsed
89,3,19.754211,.32919794,"Portland, OR",Polycentric-Dispearsed
103,5,22.152195,.36502209,"San Jose, CA",Polycentric-Dispearsed
66,1,27.332846,.38948423,"Manchester, Great Britain",Monocentric-Dispearsed
98,5,20.421692,.25774232,"Sacramento, CA",Polycentric-Dispearsed
38,6,13.359119,.32082105,"Ft. Lauderdale, FL",Polycentric-Dispearsed
105,1,17.242483,.21862316,"Seattle, WA",Monocentric-Dispearsed
95,10,16.087479,.29959512,"Riverside, CA",Polycentric-Dispearsed
