PLID_US,cbsafp,metro_name,PLrankUS,PLrankByCity,PL_lat,PL_lon,PL_area,PL_emp,PL_empdens,PL_MFGempshare,PL_NTempshare,PL_PSempshare,PL_TSempshare,PL_Oempshare,metro_emp,PL,CBD,MFGempshare_outsidePL,NTempshare_outsidePL,PSempshare_outsidePL,TSempshare_outsidePL,Oempshare_outsidePL,STempshare_outsidePL
35620_1,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,1,40.752041,-73.98278,11,1710.359,155.61948,14.705685,15.890816,9.6492023,47.106369,12.647929,8424.25,1,1,16.320608,17.570446,28.999428,17.939821,19.169697,4.9828868
16980_1,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2,1,41.883896,-87.640938,14.75,800.83698,54.313911,8.5798979,12.066999,20.711081,45.636627,13.005393,4580.9121,1,1,23.240385,18.643652,22.20866,17.360979,18.546326,4.461287
47900_1,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3,1,38.896416,-77.02877,11.75,671.02002,57.0947,2.7727938,6.9239368,50.683586,27.778307,11.841375,4031.531,1,1,7.7072845,15.875556,28.037706,27.2782,21.101254,7.5545559
14460_1,14460,"Boston-Cambridge-Newton, MA-NH",4,1,42.353092,-71.078133,17.3125,564.85498,32.61953,4.1916952,11.501004,26.222128,45.685352,12.399819,2792.3,1,1,16.577694,16.952068,25.982908,21.630793,18.856537,5.0555234
35620_2,35620,"New York-Newark-Jersey City, NY-NJ-PA",5,2,40.714153,-74.007446,3.9375,431.95001,109.67044,6.111587,9.8293781,19.427017,53.195972,11.436046,8424.25,1,0,16.320608,17.570446,28.999428,17.939821,19.169697,4.9828868
41860_1,41860,"San Francisco-Oakland-Hayward, CA",6,1,37.786438,-122.40569,7.6875,420.54199,54.831699,6.797894,16.388851,15.887592,46.304768,14.620894,2726.761,1,1,15.276712,17.75617,23.370848,22.808046,20.788223,6.1958823
37980_1,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",7,1,39.953136,-75.166702,12.5625,403.233,32.234699,7.5368338,13.252636,37.680199,29.740374,11.789958,2965.0239,1,1,15.627547,16.986713,28.752209,19.004107,19.629423,6.0636468
42660_1,42660,"Seattle-Tacoma-Bellevue, WA",8,1,47.612831,-122.33562,8.625,277.60101,32.074795,9.3969402,17.044247,29.806808,32.87056,10.881445,2254.397,1,1,18.419907,19.176769,21.644619,17.540939,23.217766,4.2874489
31080_1,31080,"Los Angeles-Long Beach-Anaheim, CA",9,1,34.049049,-118.25355,6.9375,254.72701,36.785561,9.5886965,11.075779,31.953424,36.989403,10.392694,6376.022,1,1,19.851532,19.129057,21.778847,19.755611,19.484953,5.1350746
12060_1,12060,"Atlanta-Sandy Springs-Roswell, GA",10,1,33.769772,-84.387177,11.5625,229.06799,19.812164,13.413485,10.989313,31.874815,32.80991,10.91248,2916.7339,1,1,16.349056,17.990763,18.982693,21.318005,25.359486,6.2994375
